"product_name","item_no","description","specifications","variant_width","variant_length","variant_price","price_unit","variant_available_stock","variant_id","url","p_timestamp","pp_timestamp"
"30mm x 10mm  304 HRAP Stainless Steel Flat Bar","P0005851","30mm x 10mm  304 HRAP Stainless Steel Flat Bar ASTM A276/A484","LEGACY CODE: S3010FH F4HR10030","1.080","1.08","28.75","price per Metres","0","STT-008484","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-10mm-304-hrap-stainless-steel-flat-bar-p0005851","2025-05-22 13:45:05","2025-05-25 14:16:36"
"30mm x 10mm  304 HRAP Stainless Steel Flat Bar","P0005851","30mm x 10mm  304 HRAP Stainless Steel Flat Bar ASTM A276/A484","LEGACY CODE: S3010FH F4HR10030","3.000","3.0","28.75","price per Metres","0","STT-000040","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-10mm-304-hrap-stainless-steel-flat-bar-p0005851","2025-05-22 13:45:05","2025-05-25 14:16:36"
"30mm x 10mm  304 HRAP Stainless Steel Flat Bar","P0005851","30mm x 10mm  304 HRAP Stainless Steel Flat Bar ASTM A276/A484","LEGACY CODE: S3010FH F4HR10030","4.000","4.0","28.75","price per Metres","33","STT-000076","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-10mm-304-hrap-stainless-steel-flat-bar-p0005851","2025-05-22 13:45:05","2025-05-25 14:16:36"
"30mm x 30mm x 3mm 304 Cold Formed BA Stainless Steel Equal Angle","P0008196","30mm x 30mm x 3mm 304 Cold Formed BA Stainless Steel Equal Angle","LEGACY CODE: S303AP","4.000","4.0","11.25","price per Metres","3","STT-000076","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-3mm-304-cold-formed-ba-stainless-p0008196","2025-05-22 13:45:11","2025-05-25 14:16:41"
"30mm x 30mm x 3mm 304 HRAP Stainless Steel Equal Angle","P0004192","30mm x 30mm x 3mm 304 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S303AH A4003003","1.000","1.0","15.16","price per Metres","1","STT-000041","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-3mm-304-hrap-stainless-steel-equal-p0004192","2025-05-22 13:45:17","2025-05-25 14:16:46"
"30mm x 30mm x 3mm 304 HRAP Stainless Steel Equal Angle","P0004192","30mm x 30mm x 3mm 304 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S303AH A4003003","1.015","1.015","15.16","price per Metres","1","STT-138763","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-3mm-304-hrap-stainless-steel-equal-p0004192","2025-05-22 13:45:17","2025-05-25 14:16:46"
"30mm x 30mm x 3mm 304 HRAP Stainless Steel Equal Angle","P0004192","30mm x 30mm x 3mm 304 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S303AH A4003003","1.620","1.62","15.16","price per Metres","1","STT-008705","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-3mm-304-hrap-stainless-steel-equal-p0004192","2025-05-22 13:45:17","2025-05-25 14:16:46"
"30mm x 30mm x 3mm 304 HRAP Stainless Steel Equal Angle","P0004192","30mm x 30mm x 3mm 304 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S303AH A4003003","2.100","2.1","15.16","price per Metres","1","STT-008180","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-3mm-304-hrap-stainless-steel-equal-p0004192","2025-05-22 13:45:17","2025-05-25 14:16:46"
"30mm x 30mm x 3mm 304 HRAP Stainless Steel Equal Angle","P0004192","30mm x 30mm x 3mm 304 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S303AH A4003003","3.000","3.0","15.16","price per Metres","0","STT-000040","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-3mm-304-hrap-stainless-steel-equal-p0004192","2025-05-22 13:45:17","2025-05-25 14:16:46"
"30mm x 30mm x 3mm 304 HRAP Stainless Steel Equal Angle","P0004192","30mm x 30mm x 3mm 304 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S303AH A4003003","6.000","6.0","15.16","price per Metres","26","STT-000022","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-3mm-304-hrap-stainless-steel-equal-p0004192","2025-05-22 13:45:17","2025-05-25 14:16:46"
"30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle","P0008222","30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S305AH A4003005","1.040","1.04","24.38","price per Metres","1","STT-008198","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-5mm-304-hrap-stainless-steel-equal-p0008222","2025-05-22 13:45:29","2025-05-25 14:16:56"
"30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle","P0008222","30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S305AH A4003005","2.520","2.52","24.38","price per Metres","1","STT-008514","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-5mm-304-hrap-stainless-steel-equal-p0008222","2025-05-22 13:45:29","2025-05-25 14:16:56"
"30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle","P0008222","30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S305AH A4003005","3.000","3.0","24.38","price per Metres","0","STT-000040","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-5mm-304-hrap-stainless-steel-equal-p0008222","2025-05-22 13:45:29","2025-05-25 14:16:56"
"30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle","P0008222","30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S305AH A4003005","4.000","4.0","24.38","price per Metres","0","STT-000076","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-5mm-304-hrap-stainless-steel-equal-p0008222","2025-05-22 13:45:29","2025-05-25 14:16:56"
"30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle","P0008222","30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S305AH A4003005","4.600","4.6","24.38","price per Metres","1","STT-008558","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-5mm-304-hrap-stainless-steel-equal-p0008222","2025-05-22 13:45:29","2025-05-25 14:16:56"
"30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle","P0008222","30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S305AH A4003005","5.000","5.0","24.38","price per Metres","0","STT-000084","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-5mm-304-hrap-stainless-steel-equal-p0008222","2025-05-22 13:45:29","2025-05-25 14:16:56"
"30mm x 30mm x 3mm 316 HRAP Stainless Steel Equal Angle","P0008195","30mm x 30mm x 3mm 316 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S303AH6 A6003003",,"4.000","21.38","Each","0","STT-000076","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-3mm-316-hrap-stainless-steel-equal-p0008195","2025-05-22 13:45:23","2025-05-25 14:16:51"
"30mm x 30mm x 3mm 316 HRAP Stainless Steel Equal Angle","P0008195","30mm x 30mm x 3mm 316 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S303AH6 A6003003",,"3.000","21.38","Each","1","STT-000040","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-3mm-316-hrap-stainless-steel-equal-p0008195","2025-05-22 13:45:23","2025-05-25 14:16:51"
"30mm x 30mm x 3mm 316 HRAP Stainless Steel Equal Angle","P0008195","30mm x 30mm x 3mm 316 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S303AH6 A6003003",,"6.000","21.38","Each","47","STT-000022","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-3mm-316-hrap-stainless-steel-equal-p0008195","2025-05-22 13:45:23","2025-05-25 14:16:51"
"30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle","P0008222","30mm x 30mm x 5mm 304 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S305AH A4003005","6.000","6.0","24.38","price per Metres","0","STT-000022","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-5mm-304-hrap-stainless-steel-equal-p0008222","2025-05-22 13:45:29","2025-05-25 14:16:56"
"30mm x 30mm x 5mm 316 HRAP Stainless Steel Equal Angle","P0008223","30mm x 30mm x 5mm 316 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S305AH6 A6003005","1.500","1.5","34.37","price per Metres","2","STT-000077","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-5mm-316-hrap-stainless-steel-equal-p0008223","2025-05-22 13:45:34","2025-05-25 14:17:02"
"30mm x 30mm x 5mm 316 HRAP Stainless Steel Equal Angle","P0008223","30mm x 30mm x 5mm 316 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S305AH6 A6003005","3.000","3.0","34.37","price per Metres","0","STT-000040","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-5mm-316-hrap-stainless-steel-equal-p0008223","2025-05-22 13:45:34","2025-05-25 14:17:02"
"30mm x 30mm x 5mm 316 HRAP Stainless Steel Equal Angle","P0008223","30mm x 30mm x 5mm 316 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S305AH6 A6003005","4.000","4.0","34.37","price per Metres","0","STT-000076","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-5mm-316-hrap-stainless-steel-equal-p0008223","2025-05-22 13:45:34","2025-05-25 14:17:02"
"30mm x 30mm x 5mm 316 HRAP Stainless Steel Equal Angle","P0008223","30mm x 30mm x 5mm 316 HRAP Stainless Steel Equal Angle ASTM A276/A484","LEGACY CODE: S305AH6 A6003005","6.000","6.0","34.37","price per Metres","0","STT-000022","https://portal.steelandtube.co.nz/stainless/bar/30mm-x-30mm-x-5mm-316-hrap-stainless-steel-equal-p0008223","2025-05-22 13:45:34","2025-05-25 14:17:02"
